,Review,Review By,Review Date
24,"Good Competition for BMWIt has more and good features in comparison to other cars in this range. MG hector is capable to stand in front of BMW, MERCEDES, etc.",By vinod,"On: Dec 18, 2019  | 47 Views"
25,Superb car.The infotainment system is great and is a big size SUV. This feature-loaded car is giving competition to other cars.,By aritta sinha,"On: Dec 18, 2019  | 66 Views"
26,When the ELEGANCE meets the INNOVATION.An extremely comfortable contribution to the automobile industry with a dominant road presence and contains very strong suspension so as to give you with utmost comfort irrespective of the length and breadth of the journey.Read More,By shariq abid,"On: Dec 18, 2019  | 108 Views"
27,"Excellent features.It is a complete car with all new facilities, MG Hector's body is very good and its performance is excellent. It is very advance according to the era. It has very good features inside it which are not above the other car in this range moreover its price is right.Read More",By vishesh,"On: Dec 18, 2019  | 102 Views"
28,"Heaven on wheels.Best of the class. I cannot demand anything more than this at such a price. The engine is a beast, the interior is amazing.",By amarjeet singh,"On: Dec 18, 2019  | 64 Views"
29,"The real beauty.India's first internet car with good features, it's a dream come true for all Indians in this price segment.",By mukul singh,"On: Dec 17, 2019  | 64 Views"
0,"My Road Test Experience With HectorWhen we first experienced the Hector on the hills of Coimbatore, we knew it had the makings of a winner. No doubt, the distinctive design, exhaustive features list and a hugely spacious cabin are all strong factors in the success of an SUV, but that brief drive was just a sampler and didn't include the petrol-automatic variant. This variant is the ...Read More",By shubham sasane,"On: Dec 14, 2019  | 4440 Views"
1,"Safety and Features are UnbeatableIt is a good car but as compared to the Harrier, it is not good but is better in features. Safety should be ensured by checking all updates to be done in the car because the safety should be more and should be 5 stars in the NCAP test by beating the Nexon so that it will be the safest car of 2020.Read More",By ramnarayan padhy ,"On: Dec 14, 2019  | 231 Views"
2,"I Will Recommend Hector To AllIt is a great car with good new features. Spacious and well equipped, new locking system with smart airbags. After the first service from Chandigarh, it is much smooth",By navdeep singh,"On: Dec 14, 2019  | 37 Views"
3,"Perfect ride for true car lovers.Good looks, high-performance level. Highly recommended! This new company in India is changing the game and introducing some fine machines with strong performance and at a reasonable price.Read More",By satyamm bhardwaj,"On: Dec 16, 2019  | 400 Views"
4,"The real beast.I could never imagine that the petrol Hybrid engine can churn this much power. The 1.5L engine gives an amazing power in the mid-range up to 2000RPM. It has 6 airbags, ABS, TC hill hold, etc. It's quite comfortable and the rear seating is very much comfortable. The infotainment system is of superb quality as it has a 10.4-inch huge touch screen.Read More",By siddharth vasudeva,"On: Dec 17, 2019  | 165 Views"
5,"The real beast.It's a powerful XUV with all comfort and ensuring driving and travel experience MG its an experience of a technological and powerful shift in XUV series. Also, luxurious interior and have a very torque powerful engine.Read More",By ahammed fuhad,"On: Dec 17, 2019  | 77 Views"
