,Review,Review By,Review Date
0,"Petrol driking Mechine ( Avrage 5-6km/l)My name is Johnson Correya and I currently reside in Powai (Mumbai). I have purchased a petrol model Jeep Compass Sports Variant with Manual Transmission. Before buying the vehicle, I had checked reviews on different websites about this vehicle and discussed the features with the sales team, especially with the salesperson from the Landmark Mumbai ...Read More",By johnson,"On: Jan 17, 2019  | 93 Views"
1,Limited plusA heavy car with nice looks. The best part is a dual panoramic sunroof.,By diko,"On: Jan 17, 2019  | 45 Views"
2,"Petrol drinking car- (5-6km/l)The buying experience was very bad. The only mistake I did, never checked the mileage of the car. I believed the sales person who told me the average mileage is 14-17km/L. The Jeep team is not ready to accept the mileage issues. I have sent several emails to the entire Jeep team and there were no reply and solution. I am getting an average mileage ...Read More",By johnson,"On: Jan 17, 2019  | 61 Views"
3,"Finally Big toy in my houseAwesome deal, I really want to buy Jeep Compass and I am already booked this.",By dr. malkeet,"On: Jan 15, 2019  | 258 Views"
4,"WOW WHAT A BEAUTYJeep Compass has a superb road handling, good mileage manly looking what more can one ask for?",By salim,"On: Jan 15, 2019  | 85 Views"
5,Don't buy jeepWorst after sale services of the jeep. RSA of jeep crushed my jeep and now no one listening to buying is the worst decision.,By daleep,"On: Jan 11, 2019  | 175 Views"
6,"Jeep featuresJeep Compass is very nice, It looks Well good and it is a very safe car I like it......",By farren darr,"On: Jan 08, 2019  | 83 Views"
7,"Jeep is fabulousIt is a fantastic car, if you want to enjoy a real drive in hilly areas and in straight and rough roads, it gives you a pleasant drive and experience. New sunroof facility is awesome, I have to wait for it for a long time.Read More",By mamoon anis,"On: Jan 06, 2019  | 42 Views"
8,Jeep compyJeep Compass is a Superb car and it should be available all facilities and also good mileage.,By harish muthyala,"On: Jan 10, 2019  | 68 Views"
9,VALUE OF MONEYIT IS A VERY MUSCULAR CAR WITH BOLD AND ATTRACTIVE LOOK BUILT QUALITY IS AWESOME POWER EXTREMELY NITRO GOOD SPEAKERS OVERALL IT IS VALUE OF MONEY EVERYTHING IS THEIR IN THIS CAR ACCEPT PADDLE SHIFT BUT OK WE MANAGE.Read More,By vishal gupta,"On: Jan 09, 2019  | 66 Views"
10,"Best in class !!The all-new Jeep compass is absolutely a no doubt car with first in class features. The 4×4 option is so amazing that enables you to go for long drives as well as off-roading. But it comes short when it comes to comfort as the brakes may make you feel a little uncomfortable. Overall, it makes up with its better fuel economy. The Jeep Compass is exc...Read More",By pampana rama koti,"On: Dec 23, 2018  | 53 Views"
11,Best on HighwaysVery Very Stable on speed 160-180. Luxury with comfort. This SUV is not just a simple 7-seater but a perfect vehicle for those who love power and class both...,By anshul,"On: Dec 29, 2018  | 77 Views"
12,"Good look and strong suvGood looking smooth engine with a panoramic sunroof, Led DRL are looking superb.",By alok,"On: Dec 21, 2018  | 56 Views"
13,"Awesome look, space and sunroof look batter then oAwesome look, space, and sunroof look better than other cars like Porsche.....The car has great power.....and amazing looks.......",By nitin,"On: Jan 05, 2019  | 58 Views"
14,"Jeep compassIt is an awesome car in this price, Jeep brand is Awesome, you do not need more if you like Jeep.",By taniya ahuja bajwa,"On: Dec 31, 2018  | 93 Views"
15,"What to say about Jeep. It is favolusIt is A fantastic car, if you want to enjoy a real drive in hilly areas and in straight and rough roads, it gives you a pleasant drive. New sunroof facility is awesome, I have to wait for it for a long time.Read More",By abhishek,"On: Dec 23, 2018  | 108 Views"
16,If you plan the buy SUV so just think about Compass*Wow!! wot an SUV which is a perfect SUV There is no one Like compass super smooth super slint super grip That is Fully Superb If you plan the buy SUV so just think about Compass*Read More,By mubeen khatri,"On: Dec 21, 2018  | 56 Views"
17,Rugged and powerful SUVThe Jeep Compass is a powerful and extremely powerful SUV capable of going off-road. It is also loaded with a tonne of features.,By balamurugan s,"On: Dec 16, 2018  | 106 Views"
18,"Little monsterI got this little monster a month back, great build quality and more overhead-turning looks good. Good quality ride, but getting bit noise in the engine may be solved after first service hope so. Overall a good car.Read More",By anil,"On: Dec 15, 2018  | 53 Views"
19,"Awesome SUVAmazing driving experience in one word. Ride quality is excellent along with quality interiors & comfortable seats. Awesome & head turning look. Purchased cream white Jeep Compass Limited 4X4 from landmark showroom, Moti Nagar, Delhi in the beginning of this month. Supportive, enthusiastic sales team & staff with the unmatched buying experience.Read More",By amit chaurasia,"On: Dec 15, 2018  | 63 Views"
20,"Jeep Compass  My Experience After Driving 3000KmsWe are a family of four and we all are really fond of cars including my little one 2 years old as well. The elder 10 year old son can rattle the power and torque figures of different cars. Most of the cars we have owned are driving oriented and we always take the build quality, driving dynamics and safety as top priorities every time we choose a ne...Read More",By shailendra,"On: Nov 19, 2018  | 191 Views"
21,"Jeep Compass - The Car for lavish drivingI bought Diesel variant car in May 2018. Followings were in my mind while choosing Car.1) Safety2) Comfort3) Quality4) Attractive Look5) PowerIf you are practical to have number of features over your paying price, then this Jeep Compass is not for you. Many other brands giving you so much in 65% price of Jeep Compass.They are committed for...Read More",By dshah,"On: Jun 13, 2018  | 3132 Views"
22,"Better options availableI took a test drive of Jeep compass petrol automatic (top end) and was surprised to find that the basic features of this car is missing at a price tag of 25 L.ProsGood build qualityComfortableConsBasic features missing like LED headlamps, cruise control.Just 2 airbagsAudio system is no better than Maruti'sSpare wheel is of smaller size thus...Read More",By ashirwadgoswami,"On: Jun 09, 2018  | 2237 Views"
23,The real JEEP (Jeep Compass) & a true Quality productIt's a great vehicle with an awesome build quality and high safety standards. Great to drive on the highway with excellent ride and handling.Great Build Quality - Excellent exterior and Interior Quality.Finish - Harman excellent music system - only in a segment with 50 security features as a standard.Read More,By priyam,"On: Aug 17, 2018  | 204 Views"
24,Off-road King- Smooth in RideGreat in look and smooth in Ride. Best for off-road driving. The engine runs smooth. I am having a limited variant which is totally great. If you are searching a compact SUV and then the Jeep Compass is the off-road king. No car is better than this in its segment. It also fits in the budget.  Read More,By aryan singh,"On: Dec 13, 2018  | 57 Views"
25,Stronger and Fully loaded with featuresThis car is a part of my family for 16 months have overcome all the obstacles and performed very well on the off-road and doing till now. Compass has the perfect build quality and safety features.Read More,By umar noor,"On: Dec 07, 2018  | 37 Views"
26,Pathetic after sales serviceThe Jeep Compass is good at build quality performance which can be easily washed away when you compare the after-sales service experience.,By sankalp avenues,"On: Dec 06, 2018  | 117 Views"
27,"GOOD to driveI bought a Jeep Compass Longitude optional a year back in Sep 2017 and was enjoying my drives like any other user, the overall performance of the vehicle is as good as expected, but when I went for the service my overall experience turned down. Read More",By krishna,"On: Dec 06, 2018  | 81 Views"
28,"Awesome Test Drive ExperienceI took the Test drive of Jeep Compass top variant a month back, and it was a superb drive. The build quality of the car seems good and compass have all the features including a panoramic sunroof, an 8.4-inch touchscreen infotainment system, an 8-way powered driver's seat, 18-inch wheels and more. A worth option to consider if you want to buy a SUV ...Read More",By shipra,"On: Oct 04, 2018  | 161 Views"
29,"Excellent CarPros - It has a powerful and punchy engine with an amazing build quality. Good Interiors.Superior ride quality and handling. The design is simply spectacular.Cons - Small screen size for ICE. Sunroof is not available. Dummy buttons.Still, I love this car and am waiting for the delivery.Read More",By mathew,"On: Sep 14, 2018  | 305 Views"
0,"Jeep Compass - Attractive Design and Amazing PerformanceJeep Compass as the name strikes the mind, we get the image of the hardcore off-road Jeep-like vehicle but that?s not the case with the Jeep Compass. Though it?s a plush as well as off-roader it dons the typical city SUV looks. I bought my Jeep Compass in January 2018 and till date, it never failed to impress me in one way or the other. Its amazing...Read More",By rishi,"On: Apr 27, 2018  | 196 Views"
1,"Amazing Driving Experience.I bough Jeep compass Limited on 6th Nov 2017. Actuallly I am a Hyundai lover & using Hyundai cars from last 10 years. But in July 2017 Jeep Compass was launched in India & after a month study on jeep, I planned to purchase compass by cancelling my booking of Hyundai Tucson.This is one of my great decision to purchase a jeep compass in Black colour...Read More",By amresh sawant,"On: May 18, 2018  | 2019 Views"
2,"Horrible Life threatening vehicleI bought Jeep Compass one month back n now close to 2000 km drive . Yesterday I had horrible experience when driving in pune city . I was driving in city with my family n suddenly fire smoke started from front bonnet. My family scared n all side vehicle people started pointing me abt smoke. Some how I managed to park on side of the road , after 20-...Read More",By sujit kulkarni,"On: Jun 06, 2018  | 1287 Views"
3,"Horrible rideIndian Jeep Compass disappoints. The local sourcing is the spoilsport . Unsettled ride . Wayward steering. Horrible tyres , stalls frequently in second gear . The rear sharply thuds on speed breakers. Unhealthy side to side movement. The designer will faint if he drives Indian Compass. Sub standard parts to blame. Horrible quality checks  Read More",By tikka bimbrahw Verified Buyer,"On: May 04, 2018  | 475 Views"
4,Arrogant Staff Will Sink Jeep CompassI am an Air Force Officer and was impressed by the Jeep 4X4 month offer and went to a dealer in Bangalore for enquiring about the same. I had carried my cheque book to book the vehicle in anticipation of an honest interaction with the sales personI first asked him about the CSD price list. He said that he doesn't have it. From the tone and tenour o...Read More,By ravindran achuthan,"On: Apr 20, 2018  | 190 Views"
5,"JEEP COMPASS- TRULY COMPACTOverall, its a nice compact SUV. However, i would like to mention some comments basing on my experienced.1. Cabin size, especially the height of the roof above front seats a bit low.2. Bumper too low for hilly areas.Read More",By nokchasashi,"On: Mar 29, 2018  | 650 Views"
6,Awesome suvGreat styling. Premium interiors. Ride quality is good. Great value for money. Goes well with the iconic brand name. Can compete with the cars of one level higher. Still have to experience service part though. Expecting good service network Read More,By deepak n,"On: Mar 03, 2018  | 190 Views"
7,Worst Customer Service in Jeep Company and their DealershipWorst Customer Care in the Jeep Dealership at dealer and when Escalated to Jeep Company the Response is even more Worse. There is no one to care for customers pain points. The basic elementries of customer installation on delivery is being ignored. The overall experience of Jeep has been very bad. Feeling very sad for having bought a Jeep. Product ...Read More,By prabhu ,"On: Feb 28, 2018  | 224 Views"
8,Bad than all other Indian carsDiesel Engine is too loud in the cabin. Body frame sound is also there which is not acceptable with this segment of car. I purchased the vehicle from Dehradun and driven only 20000 km. I have been driving since 25 years and driven more than 25 brands of cars and SUV's .Read More,By sandeep jindal,"On: Feb 19, 2018  | 429 Views"
9,"Great suvultimate suvkya khu iske bare test drive karo or kud jaan jaowhat a break system, controlling power, curvings built quality,off road...head off to jeep company jo aisi suv banayi....jitna khu utna kam....Read More",By pankaj,"On: Apr 18, 2018  | 106 Views"
10,"Great Car with great serviceI bought limited(O) diesel from Mohali dealership on 10th January 2018 and I must say my experience till now is great in all aspects.When I confirmed my purchase, I got delivery next day as one day took for banking formalities. That was amazing experience. The dealership here in Mohali is very professional and customer oriented, they even changed t...Read More",By sunil,"On: Feb 16, 2018  | 210 Views"
11,"Good Car But Lacks Automatic TransmissionMy friend recently bought the Jeep Compass and we got out for a small drive. As we drove down the highways, the car felt well planted and I didn?t have to switch gears very frequently in order to keep the car moving, which made it pretty relaxing to drive. But when we came back in the city, the heavy clutch started to get irritating and painful. Th...Read More",By saransh goyal,"On: Oct 24, 2017  | 921 Views"
12,"4x4 MT Compass (21.39 L) vs the AWD AT Tucson (25.18 L)As and when Compass comes with AT 4x4 it will cost atleast 23.5 and obviously as it is a new launch there are no discount offers. Tucson with discount offers between 1-1.5 L is going to be available for almost the same price as the AT 4x4 Compass. Therefore a Tucson which is bigger, more powerful, more fuel efficient, better dynamically designed, m...Read More",By romesh lal,"On: Oct 19, 2017  | 163 Views"
13,"Jeep Compass  Attractive SUV That Misses Some Key FeaturesI started following all the updates on this small SUV the moment it was announced for the Indian market. The key reason behind purchasing this car was the attractive design with which I fell in love at the first sight. And since it is a Jeep product, I wasn't caring much about the build quality and the driving experience. The ride and handling of t...Read More",By ravinder,"On: Feb 13, 2018  | 404 Views"
14,Jeep is worst car maker in IndiaI have purchased Jeep Compass 2*4 Limited on 30th November. Delivery date was 5th December. Within a week the vehicle breakdown .Nobody know what happened Road assistance Services brought to Service Center .Now 20 days Over There is no proper solution So far . I thing this premium vehicle .So I expected great service .But my experience was horrible...Read More,By sadiq p h,"On: Jan 01, 2018  | 908 Views"
15,"Jeep India: Worst Sales team, Fake commitment to deliver carVery disappointed with Jeep India and their Dealers. Big brand but poor management in India. Fake data they are disclosing that 5000 cars has been delivered or 10000+ booking completed but actual data is wrong, very few cars on road, almost everyone is waiting and wasting their time. Dealers initially promise that they will deliver the car in first...Read More",By n sh,"On: Nov 12, 2017  | 452 Views"
16,"Jeep Compass a great value for money SUV...Good to be back again?this time I am writing a review for the Jeep Compass Longitude Diesel MT. This is the mid segment jeep in the compass series. To start with let me tell you the vehicle is absolutely ?SOLID? heavy build and gives you an impeccable presence wherever you go. So lets talk engine dynamics, the diesel engine of this baby is a 2 Ltr ...Read More",By samriddh mangotra,"On: Dec 27, 2017  | 242 Views"
17,"Truly an Urban Jeep !Was looking to move on from my good old Mitsubishi Outlander - Yes a petrol suv :). Not a Diesel fan. Criteria was : An SUV, Chic Looks, Automatic Petrol. not much choices available in Indian market. Shortlisted between : Fortuner Petrol & Tucson Petrol . Then read some where jeep is launching Petrol with automatic .. so thought should give it a ...Read More",By tkt Verified Buyer,"On: Nov 21, 2017  | 185 Views"
18,Worst tyres in JEEP CARSIn India jeep cars and not supplying very good tyres with the car because in my Jeep Compass car FIRESTONE tyre got BURSTED (only mysore city ride) for 1350KM!BE AWARE OF IT!!!Read More,By abhishek kumar,"On: Dec 26, 2017  | 121 Views"
19,Multiple IssuesBad experience so far...Gear issues accompanied by burning smell. Electronic Parking Brake failure ! All in less than 2000 km !. Even the service team is clueless.,By srinivasa rao ,"On: Dec 07, 2017  | 176 Views"
20,"Jeep Compass- Unbelievably AffordableI have been a huge fan of Jeep badge. The sturdy and macho vehicles that this American brand manufactures are simply unmatchable. I have been following the Jeep Compass since the time it was first showcased. The massive road presence and the sharp styling of the Compass SUV cannot be compared to any other crossover in the country. Apart from this, ...Read More",By micheal Verified Buyer,"On: Jul 31, 2017  | 10981 Views"
21,"The Compass Is Here To StayI bought the Jeep Compass just for its head-turning looks. But to my amazement, the Compass has a lot more to offer. The ride quality is sublime and so is the seating comfort. Although the high door sills do get in the way at times, especially when you are in a hurry. The sound system is amazing but I can't say the same for the infotainment display...Read More",By sumita kapoor,"On: Oct 12, 2017  | 622 Views"
22,"Brand, quality & styleFirst 3 version of Jeep Compass are not worth the money - but things change when you look at Limited option & onwards. You get all the features one would like to see in a compact SUV - Price is bit higher compared to other brands but brand also matters so i'm sure people will go for Compass & will not look at the price. Buy it for Brand, Quality, ...Read More",By ishrat aziz,"On: Oct 17, 2017  | 148 Views"
23,"No 4x4 till November, No Sun-RoofAfter months of waiting fr it's launch, I booked the top-end 4x4 on the first day the bookings opened.I am now going to cancel my booking. Reasons:1. No delivery of 4x4 till Nov.2. Imminent increase in taxes, & the On-Road Price will go frm 24 to 26 Lacs3. Pay 26L fr a top-end vehicle, and you still have dummy buttons on the steering, undersize...Read More",By s singh Verified Buyer,"On: Aug 23, 2017  | 6635 Views"
24,"Small SUVI saw the Jeep Compass at a nearby dealership today. It is smaller than what it looks in the images. The Tucson, in comparison, looks wider. Sit inside and the quality of the materials used is good. The space is also decent and two six-feet tall guys can sit one behind the other. But it doesn't look as wide as you think it will be. From the driver'...Read More",By arun,"On: Aug 01, 2017  | 11550 Views"
25,Good job jeeplooks 5/5interior 5/4.5soft touch leather 5/4touch screen 5/3harman kardon 6 speakers 5/5safety features 5/5comfortable seats 5/5low noise cabin 5/5led front nd rear lights 5/5smooth drive 5/4Read More,By paras ,"On: Aug 10, 2017  | 2313 Views"
